,BS,EPOCHS,FREQ,learnable_func,FourierFeatures,MODEL,layers,N_INPUT,X_MIN,X_MAX,Y_MIN,Y_MAX,params,L2%
increase_params_1,16384,2500,10,circular_wave_interference,True,KAN,"[8, 8]",2,-1,1,-1,1,597,57.19593
increase_params_2,16384,2500,10,circular_wave_interference,True,KAN,"[8, 8, 8]",2,-1,1,-1,1,1117,58.882362
